,Data,Test,Predict
0,0,391.638879394531,386.10632
1,1,389.51389465332,385.92334
2,2,385.916670227051,386.23218
3,3,374.55555267334,386.2944
4,4,387.430541992188,382.40936
5,5,381.791664886475,381.7733
6,6,385.402764892578,380.86255
7,7,386.763893890381,381.97803
8,8,378.506954193115,383.10498
9,9,384.916667175293,381.17996
10,10,380.222215270996,381.1877
11,11,386.805567932129,380.04126
12,12,389.430561828613,380.94495
13,13,378.069438171387,383.0465
14,14,389.694450378418,381.47977
15,15,398.013876342773,382.59393
16,16,396.06944732666,385.69928
17,17,396.305558776855,389.14035
18,18,400.069444274902,391.95648
19,19,397.13889465332,392.92163
20,20,394.722222900391,392.97113
21,21,388.0,392.36798
22,22,400.291660308838,389.75232
23,23,390.791659545898,390.83865
24,24,395.166667175293,389.91327
25,25,390.513888549805,390.7989
26,26,393.319432067871,389.64282
27,27,398.833335876465,388.83865
28,28,402.13889465332,390.55777
29,29,402.819432067871,393.0482
30,30,396.152781677246,395.67813
31,31,392.666667175293,395.33868
32,32,399.930555725098,392.67798
33,33,400.430564880371,392.78333
34,34,394.708332824707,393.65613
35,35,398.194453430176,393.9493
36,36,392.000006103516,394.31927
37,37,400.305564117432,391.43335
38,38,390.597215270996,392.07153
39,39,397.555549621582,390.63226
40,40,396.138899230957,391.10742
41,41,395.291653442383,391.18246
42,42,391.638885498047,391.0482
43,43,393.125009155273,390.3235
44,44,388.94444732666,389.2885
45,45,387.277784729004,387.7878
46,46,389.124996948242,386.24377
47,47,395.999996948242,385.52863
48,48,395.958343505859,386.97318
49,49,387.305546569824,389.0981
50,50,393.194453430176,388.49557
51,51,389.638902282715,388.28165
52,52,393.652774047852,386.842
53,53,392.02779083252,387.54517
54,54,395.319438171387,388.02484
55,55,391.666664123535,388.94116
56,56,393.750003051758,389.31058
57,57,401.013891601562,390.33124
58,58,393.611100769043,393.31073
59,59,396.763902282715,393.80536
60,60,387.611097717285,394.4426
61,61,387.041656494141,391.4233
62,62,390.708335876465,388.16656
63,63,384.611100769043,387.05914
64,64,392.5,385.1673
65,65,392.5,386.57892
66,66,392.5,387.6934
67,67,392.5,388.86517
68,68,392.5,389.41034
69,69,392.5,389.18723
70,70,392.5,389.11786
71,71,392.5,389.23517
72,72,392.5,389.1542
73,73,392.5,389.208
74,74,391.125003356934,389.20538
75,75,396.152770996094,388.86987
76,76,394.40279083252,389.88364
77,77,397.638888549805,390.5199
78,78,393.347215270996,392.33865
79,79,395.541653442383,392.59576
80,80,389.277767944336,392.87286
81,81,393.625003051758,390.90344
82,82,396.152774047852,390.8871
83,83,388.888891601562,391.71356
84,84,400.180541992188,390.44922
85,85,396.888902282715,392.85226
86,86,395.69444732666,393.932
87,87,393.958329772949,394.0761
88,88,396.777774047852,392.95035
89,89,392.527770996094,392.12488
90,90,393.666664123535,391.20227
91,91,387.666673278809,390.77795
92,92,399.000012207031,388.5978
