"sk_ponto";"ds_best_param";"n_time_steps";"MSE";"RMSE";"MAE";"MAPE";"Duration"
"1";"";"";"";"";"";"";"";""
1;"ARMA(5,1,0)(0,0,0)";1;4312,18433371619;65,6672241968258;47,6503186205073;7,19392488572416;38,817
1;"ARMA(1,1,0)(0,0,0)";2;10231,06247332;101,148714639979;82,8834051351816;11,6564097875057;74,475
1;"ARMA(2,1,0)(0,0,0)";3;36232,3609929495;190,347999708296;168,684262225959;20,4750866503221;135,744
1;"ARMA(3,1,0)(0,0,0)";4;4014,01925305871;63,3562881887718;43,9797864931704;6,69411733991315;166,156
1;"ARMA(4,1,0)(0,0,0)";5;7469,59785410754;86,426835266065;69,3212332319603;9,95962785328694;273,001
1;"ARMA(0,1,0)(0,0,0)";6;16589,7084086174;128,801041954704;103,582633855009;13,9362888729653;44,405
4;"ARMA(0,1,1)(0,0,0)";1;7605,5892020378;87,2100292514445;65,6586934388036;11,8753394667317;29,394
4;"ARMA(5,1,1)(0,0,0)";2;36696,5769764373;191,563506379575;153,779116129429;34,1945841606247;129,781
4;"ARMA(1,1,0)(0,0,0)";3;19838,7941901828;140,850254491012;110,602098841039;19,6626603624749;66,682
4;"ARMA(0,1,0)(0,0,0)";4;27853,9402508798;166,894997680817;131,547502388117;24,2800588702635;18,013
4;"ARMA(0,1,0)(0,0,0)";5;30393,6100454596;174,337632327216;137,258257722096;25,8556421042492;18,169
4;"ARMA(0,1,0)(0,0,0)";6;32743,4995879399;180,951649862442;142,241930101307;27,4685848036939;22,328
5;"ARMA(0,1,2)(0,0,0)";1;31119,3983194589;176,406911200947;140,523525037672;19,2507572965726;48,25
5;"ARMA(3,1,0)(0,0,0)";2;49339,1972181601;222,124283269885;176,606462329812;26,4267340349809;83,312
5;"ARMA(1,1,0)(0,0,0)";3;147092,205889982;383,52601722697;312,017458865601;24,9366051968168;37,256
5;"ARMA(3,1,0)(0,0,0)";4;249561,742001823;499,561549763213;424,747624454914;454,802509856353;184,544
5;"ARMA(2,1,0)(0,0,0)";5;40998,4965556236;202,480854787863;163,301632220866;23,6025975691286;175,035
5;"ARMA(1,1,0)(0,0,0)";6;39223,6741704462;198,049676017019;161,207057756039;17,8858539736461;75,311
6;"ARMA(0,1,1)(0,0,0)";1;11244,2515361669;106,038915197049;100,30764842148;38,0202496811258;34,269
