"sk_ponto";"ds_best_param";"n_time_steps";"MSE";"RMSE";"MAE";"MAPE";"Duration"
5;"ARIMA(0,1,2)(0,0,0)";1;31119,3983194589;176,406911200947;140,523525037672;19,2507572965726;48,172
5;"ARIMA(3,1,0)(0,0,0)";2;49339,1972181601;222,124283269885;176,606462329812;26,4267340349809;85,57
5;"ARIMA(1,1,0)(0,0,0)";3;147092,205889982;383,52601722697;312,017458865601;24,9366051968168;37,525
5;"ARIMA(3,1,0)(0,0,0)";4;249561,742001823;499,561549763213;424,747624454914;454,802509856353;151,52
5;"ARIMA(2,1,0)(0,0,0)";5;40998,4965556236;202,480854787863;163,301632220866;23,6025975691286;238,748
5;"ARIMA(1,1,0)(0,0,0)";6;39223,6741704462;198,049676017019;161,207057756039;17,8858539736461;192,126
6;"ARIMA(0,1,1)(0,0,0)";1;11244,2515361669;106,038915197049;100,30764842148;38,0202496811258;69,09
6;"ARIMA(1,1,0)(0,0,0)";2;15602,0798714761;124,908285839956;118,225854821637;44,6424472674896;70,296
6;"ARIMA(1,1,0)(0,0,0)";3;25419,1843292961;159,433949738743;136,528319177283;99,1246034455753;56,331
6;"ARIMA(0,1,0)(0,0,0)";4;27397,5347914812;165,522006970316;154,786319205834;67,8041138381291;38,683
6;"ARIMA(0,1,0)(0,0,0)";5;27158,7030065083;164,798977565118;154,2036328887;66,7038987635496;28,914
6;"ARIMA(0,1,0)(0,0,0)";6;27694,0878971171;166,415407631376;155,354323162945;68,965513099976;32,01
7;"ARIMA(0,1,1)(0,0,0)";1;2230,52506137127;47,2284348816607;36,7354740659173;6,50976965802672;36,004
7;"ARIMA(4,1,0)(0,0,0)";2;14193,8127758919;119,137789033924;105,315967914158;21,1671636872089;126,053
7;"ARIMA(5,1,0)(0,0,0)";3;17831,5594255313;133,534862210328;118,36295681551;24,6316535493793;125,1
7;"ARIMA(0,1,0)(0,0,0)";4;19225,1378036795;138,654743170508;123,563595774618;26,119091287414;40,267
7;"ARIMA(3,1,0)(0,0,0)";5;7495,21138649156;86,5748888910148;75,9100427839086;14,3181762664178;278,155
7;"ARIMA(1,1,0)(0,0,0)";6;14030,6528012182;118,451056564381;105,300438387497;21,1876827356134;139,35
11;"ARIMA(1,1,1)(0,0,0)";1;441,436117004428;21,0103811722783;13,7992932511179;1,62890709162186;40,891
11;"ARIMA(0,1,1)(0,0,0)";2;494,883832845035;22,2459846454374;15,6458889645854;1,8400392967391;55,292
11;"ARIMA(0,1,1)(0,0,0)";3;466,611640651334;21,6011953523719;14,8773187844712;1,75160755119293;44,233
11;"ARIMA(0,1,1)(0,0,0)";4;465,762960455183;21,5815421241204;14,8425252899764;1,74753193359804;93,872
11;"ARIMA(0,1,1)(0,0,0)";5;468,70323439476;21,6495550622815;14,9343318114501;1,7582372459782;92,704
11;"ARIMA(0,1,1)(0,0,0)";6;471,870152912576;21,7225724285264;15,0301494411221;1,76938928834833;161,801
12;"ARIMA(5,1,0)(0,0,0)";1;2276,6984722805;47,7147615762722;40,2013469734269;12,6088400466419;67,81
12;"ARIMA(1,1,0)(0,0,0)";2;5609,97318585362;74,8997542442805;63,1423092516902;22,1042957963796;99,828
12;"ARIMA(3,1,0)(0,0,0)";3;5595,74017020939;74,8046801357334;63,3376657713604;22,043736479376;288,796
12;"ARIMA(3,1,0)(0,0,0)";4;719434,340661087;848,194753969327;746,477946377193;722,416449457425;260,291
12;"ARIMA(4,1,0)(0,0,0)";5;2600,5618928413;50,9957046508948;43,0925644918897;13,7693373851905;843,416
12;"ARIMA(1,1,0)(0,0,0)";6;7638,34133621027;87,3976048654096;73,5334508497338;27,2951983801946;230,961
4;"ARIMA(0,1,1)(0,0,0)";1;7605,5892020378;87,2100292514445;65,6586934388036;11,8753394667317;33,321
4;"ARIMA(5,1,1)(0,0,0)";2;36696,5769764373;191,563506379575;153,779116129429;34,1945841606247;145,855
4;"ARIMA(1,1,0)(0,0,0)";3;19838,7941901828;140,850254491012;110,602098841039;19,6626603624749;70,01
