"sk_ponto";"ds_best_param";"n_time_steps";"MSE";"RMSE";"MAE";"MAPE";"Duration"
"1";"";"";"";"";"";"";"";""
1;"ARMA(0,0,0)(0,0,0)";1;472024445,858214;21726,1235810306;15057,1729110065;16,0256686207153;0,14
1;"ARMA(2,1,2)(0,0,0)";2;3464580285,35011;58860,6853965371;54943,6911538446;156,211614117043;1,384
1;"ARMA(0,1,0)(0,0,0)";3;12349728506,3556;111129,332340097;106011,930336074;1175,89695372813;0,335
1;"ARMA(0,0,0)(0,0,0)";4;234825857,894849;15324,0287749289;10457,2229818779;11,8692562090568;0,29
1;"ARMA(0,0,0)(0,0,0)";5;236656685,687821;15383,6499468696;10187,5348602103;11,6956726558397;0,364
1;"ARMA(0,0,0)(0,0,0)";6;232981747,493038;15263,7396300198;10049,1706383459;11,5426842436001;0,358
4;"ARMA(4,1,0)(0,0,0)";1;1029063153,07933;32079,0142161403;28970,0283923903;46,9069983767123;1,089
4;"ARMA(3,1,1)(0,0,0)";2;1464103199,08036;38263,6014912392;31022,7590760058;69,532909029821;1,279
4;"ARMA(5,1,1)(0,0,0)";3;7143645564,45127;84520,0897092003;80019,1260489001;1310,22102189043;2,344
4;"ARMA(1,0,4)(0,0,0)";4;1247307147,35815;35317,2358397164;30645,5645151116;61,0410484901077;2,668
4;"ARMA(0,0,0)(0,0,0)";5;359688530,018351;18965,4562301662;13637,357655366;15,6173203242327;0,257
4;"ARMA(0,0,0)(0,0,0)";6;356508534,546424;18881,4335935178;13613,2675105492;15,6195633513021;0,36
5;"ARMA(0,0,0)(0,0,0)";1;339295781,607925;18419,9832141054;11211,749929763;8,38353939195187;0,127
5;"ARMA(0,0,0)(0,0,0)";2;309401958,4601;17589,8254243782;10966,3482025732;8,26388589927189;0,188
5;"ARMA(0,0,0)(0,0,0)";3;318322107,284959;17841,5836540639;11189,5070022269;8,42349695006339;0,212
5;"ARMA(0,0,0)(0,0,0)";4;315161341,834719;17752,7840586968;11172,749238287;8,41465552368882;0,401
5;"ARMA(0,0,0)(0,0,0)";5;314091691,743085;17722,6321900299;11135,8070883303;8,39727787654776;0,271
5;"ARMA(0,0,0)(0,0,0)";6;318855537,546833;17856,5264692446;11236,4038109196;8,47629487067109;0,328
6;"ARMA(4,0,0)(0,0,0)";1;22861572,6295058;4781,37769157654;3013,97667905846;7,15805031045619;0,804
6;"ARMA(4,0,2)(0,0,0)";2;50564004,143516;7110,83709161699;4232,60034121802;10,0436499566341;2,014
6;"ARMA(2,0,2)(0,0,0)";3;48634679,7262027;6973,85687594768;3454,90247005473;7,6964402142541;1,268
6;"ARMA(1,0,0)(0,0,0)";4;53217842,9703768;7295,05606355268;3995,50549718795;9,43345624062328;0,643
6;"ARMA(0,0,0)(0,0,0)";5;24947113,0235356;4994,70850235883;2545,26619923513;6,07414641007542;0,267
6;"ARMA(0,0,2)(0,0,0)";6;44702314,1826331;6685,9789247823;3857,02136611774;9,26634580897446;0,849
7;"ARMA(2,0,3)(0,0,0)";1;266761969,96051;16332,8494133911;12059,8871041324;16,1228403526718;1,494
7;"ARMA(2,0,4)(0,0,0)";2;365521896,754201;19118,6269578702;11902,9726664624;14,1430370623576;2,6
7;"ARMA(3,0,0)(0,0,0)";3;498163331,177422;22319,5728269477;16199,1853462805;25,3879366806791;1,176
7;"ARMA(1,0,0)(0,0,0)";4;1111745097,4628;33342,8417724524;21689,2441194109;99,447481494634;0,599
7;"ARMA(0,0,0)(0,0,0)";5;204120349,2081;14287,0693008783;8076,8364358898;9,47869021759464;0,259
7;"ARMA(0,0,0)(0,0,0)";6;208381584,947146;14435,428117903;8203,95994469599;9,61126754980279;0,421
8;"ARMA(5,0,2)(0,0,0)";1;81373073,0841786;9020,70247176896;6961,47340510095;28,6249121453691;1,426
8;"ARMA(2,0,3)(0,0,0)";2;75940364,0614573;8714,37686019243;6206,26874743916;65,105257214922;1,419
8;"ARMA(1,0,2)(0,0,0)";3;110154764,708772;10495,4640063587;7093,37346557532;100,397273344725;1,152
8;"ARMA(2,0,2)(0,0,0)";4;25218541,5821146;5021,80660540752;3495,29222338156;12,3430297086153;1,65
8;"ARMA(0,0,0)(0,0,0)";5;26400735,2591272;5138,16458077465;3544,810045307;12,5284612735105;0,37
8;"ARMA(0,0,0)(0,0,0)";6;26568022,2645255;5154,41774253169;3596,98971244766;12,6790658853679;0,256
9;"ARMA(0,0,0)(0,0,0)";1;358537131,085987;18935,0767383179;14293,1985702412;21,0248288459265;0,1
9;"ARMA(0,0,0)(0,0,0)";2;361015292,644873;19000,4024337611;13806,6768044525;19,643653433117;0,135
9;"ARMA(0,0,0)(0,0,0)";3;348458160,406889;18667,0340549025;12931,0492781021;18,2433190775622;0,129
9;"ARMA(0,0,1)(0,0,0)";4;602656767,357002;24549,0685639395;17217,5061703831;23,0246709683384;0,46
9;"ARMA(0,0,0)(0,0,0)";5;347420300,067569;18639,2140410364;13468,5051010072;19,2379717432605;0,207
9;"ARMA(0,0,0)(0,0,0)";6;336816187,747009;18352,5526221016;13283,8009297571;18,9257997635903;0,263
11;"ARMA(0,0,0)(0,0,0)";1;403162957,504311;20078,9182354108;12644,6943923517;9,86977327924818;0,153
11;"ARMA(3,0,2)(0,0,0)";2;1104556701,70295;33234,871772025;21987,362881937;17,2368104802637;1,674
11;"ARMA(0,0,0)(0,0,0)";3;401727547,938695;20043,1421673024;12799,8789368557;10,038163579932;0,246
11;"ARMA(0,0,0)(0,0,0)";4;401411045,969441;20035,2450938201;12818,8194168662;10,0610793359327;0,294
11;"ARMA(0,0,0)(0,0,0)";5;378649869,961808;19458,9277700959;12311,5408566739;9,68968546031175;0,274
11;"ARMA(0,0,0)(0,0,0)";6;386741895,699709;19665,7543892857;12086,0229191457;9,50484427695293;0,341
12;"ARMA(0,0,0)(0,0,0)";1;47289542,7911819;6876,73925572156;3940,43148387999;7,43167382514627;0,145
12;"ARMA(1,0,2)(0,0,0)";2;262903332,257487;16214,2940721293;7411,09786518354;19,0460668852868;0,554
12;"ARMA(0,0,2)(0,0,0)";3;168192211,967151;12968,8940148014;5964,05009559797;10,6621646334935;0,489
12;"ARMA(1,0,2)(0,0,0)";4;373745242,397385;19332,4918827704;9555,16702613421;95,1029192997018;0,82
12;"ARMA(1,0,2)(0,0,0)";5;543407593,482875;23311,1045101444;11687,8786799856;35,7623940910286;0,904
12;"ARMA(1,0,0)(0,0,0)";6;215905234,095707;14693,7141014689;7871,48703951398;22,9408418961361;0,639
13;"ARMA(0,0,0)(0,0,0)";1;28370910850,2575;168436,667178668;112698,219098321;22,796311471307;0,106
13;"ARMA(0,0,0)(0,0,0)";2;28278423434,6356;168161,896500473;110600,633001285;22,4001726635703;0,128
13;"ARMA(0,1,2)(0,0,0)";3;188088290829,957;433691,469630148;377264,719231113;1954,02170197816;0,616
13;"ARMA(0,0,0)(0,0,0)";4;23088998623,1151;151950,645352743;106359,320293032;24,3742476372433;0,222
13;"ARMA(0,0,0)(0,0,0)";5;23415685859,9576;153021,847655678;107368,822784238;24,7248905891465;0,222
13;"ARMA(0,0,0)(0,0,0)";6;23279265521,6927;152575,442066188;108770,167296127;25,1120209469766;0,348
