"sk_ponto";"ds_best_param";"n_time_steps";"MSE";"RMSE";"MAE";"MAPE";"Duration"
1;"ARIMA(5,1,0)(0,0,0)";1;4228,18944868104;65,024529592155;46,9531820518765;7,09953317693917;40,91
1;"ARIMA(2,1,0)(0,0,0)";2;9571,74778764042;97,8353095136946;81,0585887717883;11,4679508187603;64,269
1;"ARIMA(2,1,0)(0,0,0)";3;15489,5152101819;124,45688092742;106,706771076976;14,3051583247981;59,501
1;"ARIMA(3,1,0)(0,0,0)";4;3972,48967361272;63,0276897372315;43,6077448497995;6,64333849926694;146,576
1;"ARIMA(4,1,0)(0,0,0)";5;3959,875621533;62,9275426306558;44,8892353774672;6,8400108979402;197,367
1;"ARIMA(1,1,0)(0,0,0)";6;7565,05320649888;86,9773143210279;65,0499621152734;9,47960112373976;70,412
4;"ARIMA(0,1,1)(0,0,0)";1;7611,48888765978;87,2438472768125;65,3506278710874;11,8527840980989;30,359
4;"ARIMA(5,1,0)(0,0,0)";2;146358,992856741;382,568938698296;317,99537226016;32,3181635409027;89,972
4;"ARIMA(0,1,1)(0,0,0)";3;15318,4385515309;123,767679753362;96,7190092626112;17,064224348892;61,628
4;"ARIMA(0,1,0)(0,0,0)";4;26390,442188488;162,45135329842;127,810543213196;24,4576278198001;24,016
4;"ARIMA(0,1,0)(0,0,0)";5;29172,6719825001;170,80009362556;133,714652774661;33,36090115956;27,661
4;"ARIMA(0,1,0)(0,0,0)";6;32580,7211843998;180,501305215225;139,995115680888;30,706256862162;41,972
5;"ARIMA(0,1,2)(0,0,0)";1;35311,0600752896;187,912373395925;148,583571698221;20,8740283089393;45,029
5;"ARIMA(3,1,0)(0,0,0)";2;64367,2717008168;253,707058831277;195,510496808167;34,3397147815209;105,227
5;"ARIMA(5,1,0)(0,0,0)";3;90542,6552113155;300,90306613811;226,630584197627;46,2655960758448;76,967
5;"ARIMA(0,1,0)(0,0,0)";4;69296,1703372439;263,241657678347;201,484910429551;39,027668057022;19,081
5;"ARIMA(0,1,0)(0,0,0)";5;93542,7591453172;305,847607715537;230,598516713868;47,5785875092299;24,063
5;"ARIMA(0,1,0)(0,0,0)";6;130621,523888065;361,415998384224;269,572393807582;70,5347294976524;26,414
6;"ARIMA(0,1,4)(0,0,0)";1;17365,1448328046;131,776875182274;124,351128631797;52,468296076342;101,977
6;"ARIMA(0,1,0)(0,0,0)";2;21015,5243371942;144,967321618336;136,907670895148;54,1399166068371;14,986
6;"ARIMA(0,1,0)(0,0,0)";3;22192,4183610584;148,971199770487;140,470902493958;56,4448135601712;19,088
6;"ARIMA(3,1,0)(0,0,0)";4;31905,4591918111;178,620993144174;165,729251449643;92,3874325051006;87,013
6;"ARIMA(1,1,0)(0,0,0)";5;28502,598473522;168,827126000302;157,530393419905;75,6945225939313;73,31
6;"ARIMA(3,1,0)(0,0,0)";6;28387,784606107;168,486749051986;157,116939056989;76,608959808923;139,379
7;"ARIMA(0,1,1)(0,0,0)";1;2207,54318451816;46,9844994069125;36,4429040520915;6,45351275952307;31,142
7;"ARIMA(4,1,0)(0,0,0)";2;14391,3462147795;119,963937142708;105,966358864981;21,3422091539764;304,468
7;"ARIMA(2,1,0)(0,0,0)";3;6319,14392089227;79,4930432232423;69,6422395194261;13,0064161267994;298,517
7;"ARIMA(0,1,0)(0,0,0)";4;19610,8881831569;140,038880969382;124,683091798179;26,4648480619004;58,837
7;"ARIMA(1,1,0)(0,0,0)";5;12404,7981606876;111,376829550349;98,9403453790538;19,6493205527479;318,737
7;"ARIMA(1,1,0)(0,0,0)";6;12884,6504425258;113,510574144111;100,790742454484;20,0764026168034;157,409
8;"ARIMA(1,1,5)(0,0,0)";1;86,684999468288;9,31047793984219;7,34926878124791;3,90886617052234;153,537
8;"ARIMA(1,1,4)(0,0,0)";2;97,6151205950691;9,8800364672945;7,90700154875639;4,18729768370237;190,986
8;"ARIMA(0,1,0)(0,0,0)";3;292,544760425365;17,1039399094292;14,1422416291503;7,23384256806085;37,194
8;"ARIMA(2,1,1)(0,0,0)";4;88,015897575237;9,38167882498847;7,5272578996164;3,99696066701226;630,027
8;"ARIMA(0,1,0)(0,0,0)";5;310,210742496428;17,612800529627;14,6066726842492;7,45449904069329;178,374
8;"ARIMA(0,1,2)(0,0,0)";6;64,3770837291166;8,02353312008598;6,23635246838472;3,33786847063437;525,213
9;"ARIMA(1,1,4)(0,0,0)";1;2336,3988555029;48,3363099078001;38,8201000253317;8,51944528907982;338,974
9;"ARIMA(1,1,4)(0,0,0)";2;3070,32283961079;55,4104939484461;44,4204377885016;9,66857452217911;177,849
9;"ARIMA(2,1,2)(0,0,0)";3;2500,42423999015;50,0042422199372;40,1026200377828;8,77499528961618;108,343
9;"ARIMA(0,1,0)(0,0,0)";4;8716,14774906377;93,360311423344;81,495605044319;15,4996002729944;8,572
9;"ARIMA(0,1,0)(0,0,0)";5;9276,03119597943;96,3121549752648;84,0819873284425;15,8930381509425;11,043
9;"ARIMA(1,1,1)(0,0,0)";6;11877,4212980893;108,983582699824;95,2585392690816;17,546097026063;59,52
11;"ARIMA(1,1,5)(0,0,0)";1;2129,73270865714;46,1490271691305;38,0907304277188;4,39266133256577;366,156
11;"ARIMA(2,1,3)(0,0,0)";2;3161,75941406509;56,229524398354;46,792404962079;5,35743282239813;366,752
11;"ARIMA(1,1,1)(0,0,0)";3;2198,98232579748;46,8933078999283;38,8371294438283;4,47482740611055;240,858
11;"ARIMA(1,1,2)(0,0,0)";4;2153,07912194141;46,4012836238547;38,3344647956074;4,42072107263729;369,567
11;"ARIMA(1,1,1)(0,0,0)";5;1372,99592063471;37,0539595810584;30,3527132173197;3,51396067195462;228,053
11;"ARIMA(1,1,1)(0,0,0)";6;1196,29180702329;34,5874515832447;27,8036628226082;3,23689205350067;473,119
12;"ARIMA(5,1,0)(0,0,0)";1;2030,91521019087;45,0656766307893;37,7107939844618;11,714108407363;181,959
12;"ARIMA(1,1,0)(0,0,0)";2;5684,5724026949;75,3961033654585;63,667053049462;22,3576154089556;199,682
12;"ARIMA(2,1,0)(0,0,0)";3;120325,80504885;346,880101834698;289,741085438956;196,118757465348;182,859
12;"ARIMA(1,1,0)(0,0,0)";4;4689,6949238016;68,4813472691769;59,1822280675381;19,4517258602935;167,563
12;"ARIMA(1,1,0)(0,0,0)";5;19070,5251383849;138,096072132356;119,981091451182;66,515672244469;169,525
12;"ARIMA(5,1,1)(0,0,0)";6;10646,5306005271;103,182026538187;89,1667911395215;28,6989501740745;594,102
13;"ARIMA(2,1,1)(0,0,0)";1;147425,339725812;383,960075692528;297,758072055013;8,31373783546279;58,683
13;"ARIMA(1,1,1)(0,0,0)";2;119343,085796834;345,460686326005;267,828293458935;7,56189497246546;54,699
13;"ARIMA(1,1,3)(0,0,0)";3;189491,365214177;435,306059243582;336,949108915265;9,25794386115365;160,302
13;"ARIMA(1,1,1)(0,0,0)";4;156249,235995285;395,28374112185;305,767232222074;8,50021875764999;93,691
13;"ARIMA(1,1,1)(0,0,0)";5;180717,268604366;425,108537439989;328,126393222043;9,03801701305994;121,05
13;"ARIMA(2,1,1)(0,0,0)";6;185787,080003567;431,030254162706;332,222139977833;9,13334515636756;153,988
