sk_ponto;ds_best_param;n_time_steps;MSE;RMSE;MAE;MAPE;Duration
4;ARIMA(0,1,0)(0,0,0);2;9407712355;96993,36243;89864,7153;502,2670529;0,307
6;ARIMA(0,0,0)(0,0,0);2;23666411,57;4864,813622;1541,786793;3,519185706;0,308
6;ARIMA(0,0,0)(0,0,0);3;23615122,64;4859,539344;1510,825412;3,452292357;0,244
6;ARIMA(0,0,0)(0,0,0);4;23483886,66;4846,017609;1502,333581;3,43497821;0,337
6;ARIMA(0,0,0)(0,0,0);5;23639395,56;4862,036153;1492,783432;3,417105101;0,392
6;ARIMA(0,0,0)(0,0,0);6;23600185,42;4858,002204;1479,354791;3,386990597;0,397
7;ARIMA(0,1,0)(0,0,0);1;14336622317;119735,6351;117925,7225;390,1927553;0,235
8;ARIMA(0,0,0)(0,0,0);1;15180666,54;3896,237485;1561,815133;5,032438244;0,195
8;ARIMA(0,0,0)(0,0,0);2;15033596,58;3877,31822;1565,734947;5,044247617;0,363
8;ARIMA(0,0,0)(0,0,0);3;15257827,61;3906,126932;1514,478258;4,880979395;0,357
8;ARIMA(0,0,0)(0,0,0);4;15302645,53;3911,8596;1515,346305;4,8871039;0,41
8;ARIMA(0,0,0)(0,0,0);5;15452888,8;3931,016256;1503,162789;4,838688745;0,567
8;ARIMA(0,0,0)(0,0,0);6;15436962,88;3928,990059;1501,815497;4,83473953;0,52
9;ARIMA(0,1,0)(0,0,0);1;10912011196;104460,5724;103535,6603;320,1045669;0,249
11;ARIMA(0,1,0)(0,0,0);1;30209537287;173808,9103;172169,2552;568,4800562;0,321
12;ARIMA(0,1,0)(0,0,0);1;6365919877;79786,71492;79458,82075;326,8965701;0,276
12;ARIMA(0,0,0)(0,0,0);2;35075147,17;5922,427473;2320,72411;4,308812991;0,252
12;ARIMA(0,0,0)(0,0,0);4;34950046,62;5911,856445;2320,759599;4,308989224;0,372
12;ARIMA(0,0,0)(0,0,0);6;35266892,6;5938,593487;2325,118296;4,319189882;0,645
