N_Nos_Layer1;N_Nos_Layer2;N_Nos_Layer3;EPOCAS;MSE;RMSE;MAE;MAPE;Duracao
100;100;100;250;76632,06918;276,8249793;152,5132583;2,322527602;64,21762061
100;100;98;250;70204,4703;264,9612619;132,0161161;2,149837536;67,16154671
100;100;96;250;69340,95997;263,3267172;133,7885076;2,164413843;68,88582397
100;100;94;250;68275,99564;261,2967578;111,4187585;1,974941423;67,80665326
100;100;92;250;68891,39234;262,4716982;126,6222488;2,107065052;69,71592999
100;100;90;250;70074,96602;264,7167657;143,6538981;2,223101618;71,64265203
100;100;88;250;79655,89687;282,2337628;142,3132771;2,262907384;71,38697004
100;100;86;250;77237,11031;277,9156532;141,4245974;2,259294659;69,52364993
100;100;84;250;68066,16859;260,8949378;92,36562026;1,845985411;69,40564418
100;100;82;250;71633,0698;267,6435499;132,2336801;2,166239705;70,78494477
100;100;80;250;77164,72458;277,785393;140,8640191;2,242991242;72,47994518
100;100;78;250;79523,47797;281,9990744;125,2532108;2,132223039;78,060045
100;100;76;250;74920,14633;273,7154477;140,2297031;2,251359366;70,56343007
100;100;74;250;76412,76164;276,4285833;149,7527382;2,299589115;66,93308759
100;100;72;250;77761,57409;278,8576233;159,7717685;2,390960515;67,80150151
100;100;70;250;74384,37369;272,734988;144,9000126;2,259526613;67,92990708
100;100;68;250;64571,44363;254,1091176;95,9131092;1,857165712;67,29092097
100;100;66;250;62055,41246;249,109238;83,92094279;1,758690769;67,16993666
100;100;64;250;72762,15504;269,7446108;131,2984691;2,160199246;68,09935808
100;100;62;250;74089,28823;272,1934757;120,9100039;2,084085831;67,92997837
100;100;60;250;74465,55753;272,8837803;119,3567945;2,068150311;67,89408946
100;100;58;250;78093,4929;279,4521299;143,9050915;2,259646976;66,75037289
100;100;56;250;72625,65956;269,4914833;126,9805857;2,122857152;66,34307003
100;100;54;250;87152,77125;295,216482;184,5651411;2,639983073;66,51592875
100;100;52;250;71176,54796;266,7893325;119,9360593;2,118309858;66,18267584
100;100;50;250;79047,99566;281,1547539;152,3248698;2,354368443;67,01920772
100;100;48;250;71301,94534;267,0242411;115,1748433;2,034816376;66,57434392
100;100;46;250;70820,26621;266,1207737;137,5781187;2,192412686;66,48819613
100;100;44;250;69128,01446;262,9220692;122,7065507;2,081864796;66,46671867
100;100;42;250;68395,83289;261,5259698;98,88463657;1,926824128;66,97279906
100;100;40;250;63978,40183;252,9395221;102,4719058;1,902965175;66,46871901
100;100;38;250;72151,42016;268,6101639;132,3086549;2,142902804;65,92005277
100;100;36;250;74004,96183;272,0385301;129,4810464;2,149310753;65,56824851
100;100;34;250;74534,92867;273,0108582;120,8644188;2,080178872;65,4529829
100;100;32;250;64428,32236;253,8273475;85,99822717;1,777373664;65,93321705
