SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1; LSTM(100,96,90);1;5220171,362782648;2284,7694331775906;702,0230642333499;24,235121842558783;7,550238370895386
1; LSTM(100,96,90);2;5885860,2660671305;2426,079196165519;706,5241215575134;21,629785055288636;6,761317491531372
1; LSTM(100,96,90);3;8425830,063156467;2902,728038097346;637,6943832706311;33,9004217521113;6,808239221572876
1; LSTM(100,96,90);4;7623864,324009008;2761,1346080930225;587,9141081899234;28,21487127819663;6,692625284194946
1; LSTM(100,96,90);5;8041023,098795575;2835,669779575114;731,63448504602;25,361093278517593;6,781248331069946
1; LSTM(100,96,90);6;7071539,202784522;2659,2365827027356;738,6658431887172;29,036413034482067;7,2148756980896
4; LSTM(100,96,90);1;2941435,998424465;1715,06151447243;364,197469238281;11,403452923446855;8,189619064331055
4; LSTM(100,96,90);2;3960186,528384207;1990,021740681294;330,86297693064625;8,638735861029858;8,79459524154663
4; LSTM(100,96,90);3;3658689,1224929416;1912,7700129636446;330,7950729492186;14,427356659627252;8,607224225997925
4; LSTM(100,96,90);4;4042656,192319292;2010,6357681885827;344,269635253906;14,739779675954276;8,58430004119873
4; LSTM(100,96,90);5;3219987,8664521608;1794,432463608525;347,35488022499703;12,169266907487561;8,831991195678711
4; LSTM(100,96,90);6;3363938,1539441464;1834,104182958031;347,8793975358167;15,229997182328164;10,208865880966187
5; LSTM(100,96,90);1;4760433,766882411;2181,841829024829;742,533783789062;9,682976820538304;10,139098167419434
5; LSTM(100,96,90);2;3845332,81104462;1960,9520165074464;626,4817412109369;8,937342671581487;9,421496629714966
5; LSTM(100,96,90);3;3524767,555568351;1877,4364318315415;669,9701206848986;8,34958997102731;9,062699556350708
5; LSTM(100,96,90);4;3477883,9191747047;1864,908555177627;676,2109794921871;8,361102708143507;9,596065521240234
5; LSTM(100,96,90);5;4329001,204790052;2080,6251956539536;686,105782031249;8,76908017736123;9,219178199768066
5; LSTM(100,96,90);6;3744607,960924577;1935,0989537810663;655,1827017323812;8,7481459091694;9,556046962738037
6; LSTM(100,96,90);1;336820,8274533368;580,3626689005218;209,996786205013;6,186171960438285;10,822089910507202
