SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};1;351640857.8512773;18752.089426282004;2687.5090924580436;67.97726572224967;22.566235542297363
1;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};2;308131620.6196766;17553.678264673665;3081.44599694058;80.45737677427331;17.20068383216858
1;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};3;324970305.89094156;18026.932792101423;3387.9244870829316;86.7752430256644;14.940590381622314
1;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};4;384082819.27184546;19598.031004972043;5443.23453700477;116.57901248672597;17.790436029434204
1;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};5;377796858.0856877;19436.997146825117;4439.009861338491;112.35930740213276;17.554223775863647
1;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};6;555865538.0197583;23576.800843620797;4239.695848148593;169.32014808404438;16.418948650360107
4;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};1;329050911.67686313;18139.760518729654;2449.523885577786;20.810567464009495;20.371647357940674
4;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};2;260863276.49608916;16151.262380881848;1950.290466083752;19.993111342686916;18.361908197402954
4;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};3;338941221.1390558;18410.35635556943;2439.6049940959056;22.436045565570588;13.102879047393799
4;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};4;299934686.4616285;17318.622533608974;3597.8903551295734;22.676950202488936;18.901480436325073
4;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};5;372718174.7793442;19305.91035873067;5490.143403368165;25.2947849063552;18.832556009292603
4;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};6;368801650.7856151;19204.2091944869;5420.24459711957;25.255589987330602;16.560201406478882
5;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};1;366550350.30142164;19145.50470218588;2484.0905048049026;14.304743570565162;21.059025049209595
5;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};2;367518155.6261663;19170.763042356095;2580.7167292602826;14.93378148308168;16.993694067001343
