SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;5291315.1791177355;2300.2858907357004;656.8302820816953;29.06774455889162;21.256071090698242
1;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;5734321.529508013;2394.6443430096283;721.0563249695842;31.01374240491798;15.326969385147095
1;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;6480934.949772468;2545.768047126931;547.343704546689;32.90517106877153;17.65397810935974
1;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;6970119.169727053;2640.098325768768;540.0580850700044;33.83639281611007;14.338123798370361
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;7743565.277053476;2782.7262310643273;584.6958228779986;35.91473421453897;15.089125156402588
1;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;6261688.280049421;2502.336564103522;787.0853912265275;32.83995210152;15.713152170181274
4;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;3688507.2426746343;1920.54868271404;476.77951790189763;19.026822186552007;21.11833906173706
4;SVR-LSTM{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);2;4119705.075594111;2029.7056623052788;705.7181260860216;16.72822291411259;17.30159282684326
4;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);3;6544126.7299968805;2558.149082832523;1925.1763188757423;20.233485047320727;16.084126234054565
4;SVR-LSTM{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);4;5092521.838376243;2256.661657931078;1039.0143060458713;20.90533838564453;15.575576066970825
