SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;10437.169874927891;102.16246803463535;63.41571897843653;8.982597129766281;158.7989182472229
5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;10491.286282897592;102.4269802488465;62.162983929552865;8.849659965564213;192.30021476745605
5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;12088.233523718722;109.94650300813902;75.58192496061093;9.614998664757174;209.47032070159912
5;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;12501.203097195288;111.8087791597569;72.08993455326515;9.83643976862973;199.68511772155762
5;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;6977.824305319232;83.53337240480137;47.35071355751893;7.169329083482867;156.27077960968018
5;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;7554.415543618358;86.91614086933657;55.837841838026804;7.715933544940298;148.21989583969116
6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;8067.2615033315915;89.81793530989003;78.28283636735966;36.12678369937483;167.6872375011444
6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;10185.793467799891;100.92469206195227;82.51205607599633;34.4838354937395;166.84445524215698
6;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;6389.611936112432;79.93504823362798;70.93982220806137;50.883265882390916;172.0977168083191
6;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;18699.178019720606;136.74493782118813;115.32008870837319;51.238765591746;172.6919457912445
6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;5749.073784614084;75.82264691115765;58.112336831654545;46.23603535104059;222.8398835659027
6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;5321.610374943694;72.94936857124738;44.88376991701094;39.94431000187982;269.2215714454651
7;SVR-LSTM{'C': 1255555, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;6103.835611286971;78.12704788539607;69.29811773418771;11.222173998128557;246.92858934402466
7;SVR-LSTM{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;2958.8737157437595;54.39553029196204;35.770926004439104;7.094236163971256;238.7057282924652
7;SVR-LSTM{'C': 1255555, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;3682.8292550185456;60.68631851594349;33.6503789792381;8.26343784898953;186.18261551856995
7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);4;2629.8872176695127;51.28242601193427;35.64008503157197;6.74100930144243;151.26664471626282
7;SVR-LSTM{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;4218.49403890751;64.94993486453632;42.90688192915343;8.620296721874917;144.31669640541077
7;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);6;3300.3127455480267;57.44834850148459;45.018409844692655;8.05388170851247;164.04689526557922
11;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;1098.982860239126;33.15091039834541;18.06406897429781;2.876621113315078;213.301087141037
11;SVR-LSTM{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;596.018722845255;24.41349468726784;11.016184237831112;1.9221895524977366;237.22704243659973
11;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;2524.5011848229296;50.24441446392753;44.81946308948977;5.465948963130753;238.93833756446838
11;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;522.8786076221076;22.866539038999925;10.741006641378817;1.822708323487498;240.130113363266
11;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;508.2627459388007;22.544683318662976;11.43767615950162;1.8881849214442181;275.95404529571533
11;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;667.6205755152049;25.83835473700299;15.952006074702695;2.31455748649368;369.3742768764496
12;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);1;2588.2805951682153;50.875147126747606;43.70195732770429;13.186059712849909;276.6625905036926
12;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;2551.2752839630275;50.510150306280295;42.91449496090462;12.818263690928003;266.06215476989746
12;SVR-LSTM{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;1543.9458968270785;39.293076957997044;29.188115624470413;9.882974718321533;214.85699200630188
12;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;2285.78900888081;47.809925840570074;39.41749488124768;11.645912058819876;168.52995824813843
12;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;2183.3114783056058;46.72591869942854;37.345480843147584;10.85569133709052;164.54097175598145
12;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;1993.7382170461906;44.651295804782535;34.99319701949332;10.632378186053092;161.42773628234863
4;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);1;10127.80756600191;100.63700892813692;75.68063207916032;14.395277318262808;167.47503662109375
4;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;6342.35318114716;79.63889239025842;36.85529368322079;10.126455408475769;166.8611605167389
4;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;6202.330596762649;78.75487665384696;35.9674112884461;10.6960243315368;162.4438934326172
4;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;6913.8479842408615;83.14955191846111;48.117455657104756;11.24778073289456;163.2193808555603
4;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;6167.425487493945;78.53295796984821;38.401770006906816;10.798548105651989;167.27213430404663
4;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;6336.107754537831;79.59967182430988;40.962788614096894;11.035972422839288;163.82768559455872
13;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;63133.64523783303;251.26409460532363;173.6014512853576;5.9089232061562;153.2253062725067
13;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;69997.36607637932;264.5701534118679;182.8229863569161;5.9183410823742175;186.8095896244049
13;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;95589.743829508;309.1759108169781;235.9122551213586;7.3055425194549635;186.96409249305725
13;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;72352.82742648227;268.984808913965;188.82178650071592;6.088073423797655;187.24286794662476
13;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;114407.84842176003;338.2422924794592;276.7067602619961;8.25082241989965;188.27428722381592
13;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}-LSTM(100,96,90);6;128171.53074178797;358.01051764129494;244.15798901202743;8.596655572539886;186.1728069782257
8;SVR-LSTM{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);1;44.132094901898434;6.643199146638495;3.1472728922386466;2.2741617591634773;191.2384967803955
8;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);2;206.68942571066242;14.376697315818484;12.956995925037162;7.11253719829632;186.01179432868958
8;SVR-LSTM{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;2062.2182028923394;45.41165272143637;47.92463709808433;22.581887950020022;175.605295419693
8;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);4;92.67321147799312;9.626692655216178;7.591374559823322;4.471226269665946;186.25735807418823
8;SVR-LSTM{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;41.70787208205055;6.458163212713855;3.7993201601198905;2.5044587618157608;207.46321511268616
8;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);6;478.6699868051313;21.878527985336017;20.699791681117944;11.021198830711809;200.78995871543884
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);1;1995.5612288910454;44.67170501437174;13.184002474009844;4.450356384929041;138.57381439208984
1;SVR-LSTM{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;1867.5372752692267;43.21501215167279;11.404834079682473;3.543775472541398;116.94969177246094
1;SVR-LSTM{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;4670.585295832519;68.3416805165963;56.6995409102513;9.514729904488355;112.58977341651917
1;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;2768.8302195794336;52.61967521354948;15.6991646875274;4.775832460256518;101.05409812927246
1;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;2929.960769174839;54.129112030171335;35.50203676694605;7.007520369604838;99.33820629119873
