SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;10437.600653079267;102.16457631233669;63.41321042918207;8.982728865981342;154.08377814292908
5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;10488.24137566184;102.41211537538828;62.15994738117263;8.848520537373663;150.8859782218933
5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;12110.684734287122;110.04855625716824;75.71718613948394;9.626713063452113;167.61220693588257
5;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;12091.541862641694;109.96154720010853;70.55945673873771;9.699583589546243;176.0328667163849
5;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;7131.176936417717;84.44629616755087;47.574498035726265;7.2074340390675244;212.02858543395996
5;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;8697.823140689512;93.26212061008216;55.50690215904666;8.055237301365718;207.20332074165344
6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;8033.962529484987;89.63237433809832;78.12331902201106;36.18751565214494;211.18759536743164
6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;10132.67807625891;100.66120442483742;82.27004454708256;34.40791227635568;224.76800060272217
6;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;5911.627710482676;76.8871101712288;64.29301166555334;48.324889791527795;246.86529564857483
6;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;5256.581904974915;72.50228896369352;47.67907479036259;41.99390414586049;240.86856937408447
