SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;708405736.519261;26615.8925553749;3095.7508380040817;200.22832022791138;13.662561416625977
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;722517752.9569685;26879.69034339809;4922.123522196605;201.98682958114665;8.172704458236694
1;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;760308353.2700468;27573.68951138108;5658.927133174875;211.81111506012348;4.647932052612305
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;791698384.7157248;28137.13533243434;6465.226589645899;224.0030053509958;4.11865234375
1;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);5;831764245.6216197;28840.323257925174;5617.362774935667;233.13143098126758;7.57805323600769
1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);6;861094070.1448033;29344.404409440707;7800.206588004861;241.26569224300903;11.103989601135254
4;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);1;243417045.59690973;15601.828277381781;3686.3370453883035;20.36110951641331;10.592214584350586
4;SVR-LSTM{'C': 1255555, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);2;188261895.77840587;13720.856233428214;4209.325153990998;18.58757766741732;11.416767597198486
4;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);3;225619717.3374193;15020.64304007719;4100.077358060698;20.40270768637683;13.77303147315979
4;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);4;253456277.20033956;15920.310210556187;5634.318986186729;22.10375162493005;11.73630952835083
