SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};1;708361546,0435596;26615,062390375107;3098,0579763018904;200,22346761639037;7,25972843170166
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};2;722547654,8523448;26880,246554902445;4923,725187556338;201,99025823888883;6,667718887329102
1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};3;759645846,1685481;27561,67350086979;5653,134486865558;211,77818606024243;8,055984258651733
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;795380030,4722524;28202,482700504443;6272,263709831226;224,43653788363895;8,409007549285889
1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};5;831130905,3609656;28829,34104971818;5586,885557221918;233,06166102134566;8,617176532745361
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};6;916972957,1457847;30281,56133929994;8037,4998414449365;247,24750405266036;9,240177154541016
4;{'C': 125550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};1;243438332,40725258;15602,510452079581;3685,868157230747;20,361914761451498;6,5955047607421875
4;{'C': 1255555, 'epsilon': 0,001, 'gamma': 1e-08, 'kernel': 'rbf'};2;184302359,10242575;13575,80049582439;3099,471130339036;17,957148193860434;7,771015882492065
4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};3;290253362,8954064;17036,823732591896;4317,652005163254;21,53608266728947;8,951553344726562
4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;251874849,86259335;15870,565518046084;5623,907388544307;22,054237194950748;9,434380292892456
4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};5;277622878,63781404;16662,01904445599;4783,140387713036;23,167592333335623;10,362351179122925
4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};6;438010184,5019557;20928,692852205455;9101,267343360181;27,13750397828683;10,293367862701416
5;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};1;311161912,4908864;17639,78209873598;3573,9842934046465;14,070797923162582;7,082389831542969
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};2;281557518,9811744;16779,675771038437;3329,3266221152444;13,516990214143792;9,276916742324829
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};3;284739384,2770671;16874,22247918603;2830,532662824946;13,513073708958883;9,410606145858765
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;303173504,0240762;17411,87824515426;2685,2135553560656;14,109890296368746;10,58067011833191
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};5;317940450,1113664;17830,884725985034;2411,490382324788;14,478912905357907;10,947008848190308
5;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};6;322768341,3260135;17965,75468289639;2822,3550513227965;14,770629078897707;10,272366523742676
