SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};1;689779339,0804967;26263,650528448947;2914,5563732365117;194,9849930747743;0,17299985885620117
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};2;687248950,9644012;26215,433449866916;4923,981996928051;191,6578631526967;0,17299842834472656
1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};3;702446652,0313953;26503,71015596487;5607,494770980738;195,46076231080266;0,14900708198547363
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;712377128,639587;26690,393939385514;5828,102620846912;200,66727604682643;0,14899969100952148
1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};5;723159167,150137;26891,618901623176;5151,139094966929;202,23170217071473;0,22900104522705078
1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};6;725762028,530386;26939,9708338815;5198,429890309606;202,69759229031746;0,2240002155303955
4;{'C': 125550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};1;239269995,7520057;15468,354655618861;3402,015822673522;20,040017819351466;0,33700060844421387
4;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};2;175497255,22609606;13247,53770427154;2580,4625144206802;17,21268827417829;0,3549990653991699
4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};3;214959480,84934556;14661,49654194092;3711,0428153737157;19,470606192850965;0,2250046730041504
4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;236777383,09414977;15387,572358697449;5193,275926486567;20,70453477614014;0,19899320602416992
4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};5;255969714,85106117;15999,053561103581;4643,290348563605;21,454854391787663;0,1849980354309082
4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};6;268999909,1677005;16401,21669778497;5722,33333121382;21,83961565872572;0,20099639892578125
5;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};1;319511326,98245615;17874,879775328733;3675,4856869745126;14,238397779535305;0,21400213241577148
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};2;316495779,23333895;17790,328249735554;3488,713195176999;14,147482968206504;0,2050015926361084
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};3;313965310,4901826;17719,066298487134;2918,9138980463613;13,983700875662647;0,18099236488342285
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;319850417,42349553;17884,362371174866;2706,4406472167757;14,222971156995682;0,16500043869018555
5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};5;302287117,58200306;17386,40611460583;2696,1063359489926;13,91360823807671;0,16399550437927246
5;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};6;300850175,01042;17345,033151032603;3023,3679443040455;13,956879621681958;0,16099953651428223
6;{'C': 1255555, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};1;23027246,72938796;4798,671350424819;848,3016279523836;12,188294682731136;0,2720010280609131
6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};2;23252410,11974863;4822,075291795912;845,7242764056136;12,218341210904377;0,266998291015625
6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};3;23051803,483973168;4801,229372147634;870,9117486481628;12,192736298261854;0,2690000534057617
6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};4;23342849,722608823;4831,443854854243;899,991370731077;12,40816570592378;0,22800207138061523
6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};5;23820441,25589732;4880,618941886092;870,9347231652646;12,620207398178326;0,21500539779663086
6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-06, 'kernel': 'rbf'};6;25894262,35805801;5088,640521598869;1347,4063286562814;13,912462687017912;0,1939997673034668
7;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};1;110520063,20421135;10512,852286806437;4298,245973438432;13,362965087809467;0,23799896240234375
7;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};2;111950193,11575302;10580,651828491145;3464,5144576750317;13,19926626757771;0,20300030708312988
7;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};3;134040359,71363677;11577,580045658799;3803,895568715423;14,443229783723236;0,21100163459777832
7;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};4;137974958,41648483;11746,274235538895;4699,868280424977;15,018716385097813;0,16100144386291504
7;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};5;153866533,1249833;12404,294946710324;5249,6094927488375;16,284250505967982;0,17300081253051758
7;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};6;155304698,65786907;12462,130582603806;5256,106496342429;16,295309088666183;0,1609950065612793
8;{'C': 1255555, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};1;15879593,412550056;3984,920753609795;718,7662141063483;13,891450728554988;0,29200124740600586
8;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-06, 'kernel': 'rbf'};2;18152834,532765076;4260,614337482926;1532,3996354232622;16,334671003414066;0,2259969711303711
8;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};3;14717546,96160765;3836,345521666114;855,6691252805667;14,208012507311032;0,2120051383972168
