SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
1;2-Day;ARIMA1;1;4312,18;65,67;47,65;7,19;38,8;ARIMA(5,1,0)(0,0,0);999,0;999,0;999,0;999,0;7,19;999,0;999,0
1;2-Day;ARIMA1;2;10231,06;101,15;82,88;11,66;74,5;ARIMA(1,1,0)(0,0,0);999,0;999,0;999,0;999,0;11,66;999,0;999,0
1;2-Day;ARIMA1;3;36232,36;190,35;168,68;20,48;135,7;ARIMA(2,1,0)(0,0,0);999,0;999,0;999,0;999,0;20,48;999,0;999,0
1;2-Day;ARIMA1;4;4014,02;63,36;43,98;6,69;166,2;ARIMA(3,1,0)(0,0,0);999,0;999,0;999,0;999,0;6,69;999,0;999,0
1;2-Day;ARIMA1;5;7469,6;86,43;69,32;9,96;273,0;ARIMA(4,1,0)(0,0,0);999,0;999,0;999,0;999,0;9,96;999,0;999,0
1;2-Day;ARIMA1;6;16589,71;128,8;103,58;13,94;44,4;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;13,94;999,0;999,0
1;2-Day;ARIMA2;1;4228,19;65,02;46,95;7,1;40,9;ARIMA(5,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;7,1;999,0
1;2-Day;ARIMA2;2;9571,75;97,84;81,06;11,47;64,3;ARIMA(2,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;11,47;999,0
1;2-Day;ARIMA2;3;15489,52;124,46;106,71;14,31;59,5;ARIMA(2,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;14,31;999,0
1;2-Day;ARIMA2;4;3972,49;63,03;43,61;6,64;146,6;ARIMA(3,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;6,64;999,0
1;2-Day;ARIMA2;5;3959,88;62,93;44,89;6,84;197,4;ARIMA(4,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;6,84;999,0
1;2-Day;ARIMA2;6;7565,05;86,98;65,05;9,48;70,4;ARIMA(1,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;9,48;999,0
1;2-Day;LSTM;1;5220171,36;2284,77;702,02;24,24;7,6; LSTM(100,96,90);999,0;999,0;999,0;24,24;999,0;999,0;999,0
1;2-Day;LSTM;2;5885860,27;2426,08;706,52;21,63;6,8; LSTM(100,96,90);999,0;999,0;999,0;21,63;999,0;999,0;999,0
1;2-Day;LSTM;3;8425830,06;2902,73;637,69;33,9;6,8; LSTM(100,96,90);999,0;999,0;999,0;33,9;999,0;999,0;999,0
