SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
1;1-Hour;ARIMA1;1;4312,18;65,67;47,65;7,19;45,5;ARIMA(5,1,0)(0,0,0);999,0;999,0;999,0;999,0;7,19;999,0;999,0
1;1-Hour;ARIMA1;2;10231,06;101,15;82,88;11,66;54,5;ARIMA(1,1,0)(0,0,0);999,0;999,0;999,0;999,0;11,66;999,0;999,0
1;1-Hour;ARIMA1;3;36232,36;190,35;168,68;20,48;68,0;ARIMA(2,1,0)(0,0,0);999,0;999,0;999,0;999,0;20,48;999,0;999,0
1;1-Hour;ARIMA1;4;4014,02;63,36;43,98;6,69;155,7;ARIMA(3,1,0)(0,0,0);999,0;999,0;999,0;999,0;6,69;999,0;999,0
1;1-Hour;ARIMA1;5;7469,6;86,43;69,32;9,96;281,1;ARIMA(4,1,0)(0,0,0);999,0;999,0;999,0;999,0;9,96;999,0;999,0
1;1-Hour;ARIMA1;6;16589,71;128,8;103,58;13,94;51,7;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;13,94;999,0;999,0
1;1-Hour;ARIMA2;1;4228,19;65,02;46,95;7,1;41,1;ARIMA(5,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;7,1;999,0
1;1-Hour;ARIMA2;2;9571,75;97,84;81,06;11,47;49,6;ARIMA(2,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;11,47;999,0
1;1-Hour;ARIMA2;3;15489,52;124,46;106,71;14,31;57,9;ARIMA(2,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;14,31;999,0
1;1-Hour;ARIMA2;4;3972,49;63,03;43,61;6,64;142,5;ARIMA(3,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;6,64;999,0
1;1-Hour;ARIMA2;5;3959,88;62,93;44,89;6,84;327,2;ARIMA(4,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;6,84;999,0
