SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
1;3-Week;ARIMA1;1;333380582,9;18258,71;10861,54;14,4;0,1;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;14,4;999,0;999,0
1;3-Week;ARIMA1;2;303078184,7;17409,14;10752,65;14,25;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;14,25;999,0;999,0
1;3-Week;ARIMA1;3;302645886,1;17396,72;10687,79;14,16;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;14,16;999,0;999,0
1;3-Week;ARIMA1;4;313168678,5;17696,57;10994,64;14,55;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;14,55;999,0;999,0
1;3-Week;ARIMA1;5;300810585,0;17343,89;10936,49;14,66;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;14,66;999,0;999,0
1;3-Week;ARIMA1;6;258077399,5;16064,79;10491,63;14,47;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;14,47;999,0;999,0
1;3-Week;LSTM;1;353894531,52;18812,08;2779,89;68,16;9,0; LSTM(100,96,90);999,0;999,0;999,0;68,16;999,0;999,0;999,0
1;3-Week;LSTM;2;413570221,21;20336,43;4752,51;95,1;8,3; LSTM(100,96,90);999,0;999,0;999,0;95,1;999,0;999,0;999,0
1;3-Week;LSTM;3;445382666,71;21104,09;4233,13;82,72;9,1; LSTM(100,96,90);999,0;999,0;999,0;82,72;999,0;999,0;999,0
1;3-Week;LSTM;4;369515132,2;19222,78;3522,96;101,16;7,6; LSTM(100,96,90);999,0;999,0;999,0;101,16;999,0;999,0;999,0
1;3-Week;LSTM;5;519074766,09;22783,21;4356,06;161,56;7,9; LSTM(100,96,90);999,0;999,0;999,0;161,56;999,0;999,0;999,0
1;3-Week;LSTM;6;697097956,9;26402,61;8062,59;169,57;8,0; LSTM(100,96,90);999,0;999,0;999,0;169,57;999,0;999,0;999,0
1;3-Week;MLP;1;351640857,85;18752,09;2687,51;67,98;22,6;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;67,98
1;3-Week;MLP;2;308131620,62;17553,68;3081,45;80,46;17,2;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;80,46
1;3-Week;MLP;3;324970305,89;18026,93;3387,92;86,78;14,9;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;86,78
1;3-Week;MLP;4;384082819,27;19598,03;5443,23;116,58;17,8;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;116,58
1;3-Week;MLP;5;377796858,09;19437,0;4439,01;112,36;17,6;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;112,36
1;3-Week;MLP;6;555865538,02;23576,8;4239,7;169,32;16,4;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;169,32
1;3-Week;SVR-LSTM;1;708405736,52;26615,89;3095,75;200,23;13,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);200,23;999,0;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-LSTM;2;722517752,96;26879,69;4922,12;201,99;8,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);201,99;999,0;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-LSTM;3;760308353,27;27573,69;5658,93;211,81;4,6;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);211,81;999,0;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-LSTM;4;791698384,72;28137,14;6465,23;224,0;4,1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);224,0;999,0;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-LSTM;5;831764245,62;28840,32;5617,36;233,13;7,6;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);233,13;999,0;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-LSTM;6;861094070,14;29344,4;7800,21;241,27;11,1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);241,27;999,0;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-MLP;1;708361546,04;26615,06;3098,06;200,22;7,3;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;200,22;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-MLP;2;722547654,85;26880,25;4923,73;201,99;6,7;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;201,99;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-MLP;3;759645846,17;27561,67;5653,13;211,78;8,1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;211,78;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-MLP;4;795380030,47;28202,48;6272,26;224,44;8,4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;224,44;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-MLP;5;831130905,36;28829,34;5586,89;233,06;8,6;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;233,06;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR-MLP;6;916972957,15;30281,56;8037,5;247,25;9,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;247,25;999,0;999,0;999,0;999,0;999,0
1;3-Week;SVR;1;689779339,08;26263,65;2914,56;194,98;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;194,98;999,0;999,0;999,0;999,0
1;3-Week;SVR;2;687248950,96;26215,43;4923,98;191,66;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;191,66;999,0;999,0;999,0;999,0
1;3-Week;SVR;3;702446652,03;26503,71;5607,49;195,46;0,1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;195,46;999,0;999,0;999,0;999,0
1;3-Week;SVR;4;712377128,64;26690,39;5828,1;200,67;0,1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;200,67;999,0;999,0;999,0;999,0
1;3-Week;SVR;5;723159167,15;26891,62;5151,14;202,23;0,2;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;202,23;999,0;999,0;999,0;999,0
1;3-Week;SVR;6;725762028,53;26939,97;5198,43;202,7;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;202,7;999,0;999,0;999,0;999,0
4;3-Week;ARIMA1;1;343855388,0;18543,34;14866,35;18,43;1,7;ARIMA(3,1,1)(0,0,0);999,0;999,0;999,0;999,0;18,43;999,0;999,0
4;3-Week;ARIMA1;2;230099607,0;15169,03;8666,13;10,09;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;10,09;999,0;999,0
4;3-Week;ARIMA1;3;239402177,3;15472,63;8679,79;10,19;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;10,19;999,0;999,0
4;3-Week;ARIMA1;4;243749970,8;15612,49;8932,82;10,49;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;10,49;999,0;999,0
4;3-Week;ARIMA1;5;246473062,0;15699,46;9001,59;10,56;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;10,56;999,0;999,0
4;3-Week;ARIMA1;6;244976349,7;15651,72;9046,72;10,56;0,5;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;10,56;999,0;999,0
4;3-Week;ARIMA2;2;9407712355,0;96993,36;89864,72;502,27;0,3;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;502,27;999,0
4;3-Week;LSTM;1;324620318,02;18017,22;2021,26;20,62;8,8; LSTM(100,96,90);999,0;999,0;999,0;20,62;999,0;999,0;999,0
4;3-Week;LSTM;2;304505759,01;17450,09;2141,64;19,91;9,0; LSTM(100,96,90);999,0;999,0;999,0;19,91;999,0;999,0;999,0
4;3-Week;LSTM;3;403695721,48;20092,18;2680,6;23,25;9,7; LSTM(100,96,90);999,0;999,0;999,0;23,25;999,0;999,0;999,0
4;3-Week;LSTM;4;293047103,65;17118,62;2576,82;20,2;11,4; LSTM(100,96,90);999,0;999,0;999,0;20,2;999,0;999,0;999,0
4;3-Week;LSTM;5;411737525,02;20291,32;6020,91;24,63;9,8; LSTM(100,96,90);999,0;999,0;999,0;24,63;999,0;999,0;999,0
4;3-Week;LSTM;6;475596886,19;21808,18;2984,81;26,06;10,3; LSTM(100,96,90);999,0;999,0;999,0;26,06;999,0;999,0;999,0
4;3-Week;MLP;1;329050911,68;18139,76;2449,52;20,81;20,4;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;20,81
4;3-Week;MLP;2;260863276,5;16151,26;1950,29;19,99;18,4;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;19,99
4;3-Week;MLP;3;338941221,14;18410,36;2439,6;22,44;13,1;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;22,44
4;3-Week;MLP;4;299934686,46;17318,62;3597,89;22,68;18,9;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;22,68
4;3-Week;MLP;5;372718174,78;19305,91;5490,14;25,29;18,8;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;25,29
4;3-Week;MLP;6;368801650,79;19204,21;5420,24;25,26;16,6;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;25,26
4;3-Week;SVR-LSTM;1;243417045,6;15601,83;3686,34;20,36;10,6;SVR-LSTM{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);20,36;999,0;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-LSTM;2;188261895,78;13720,86;4209,33;18,59;11,4;SVR-LSTM{'C': 1255555, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);18,59;999,0;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-LSTM;3;225619717,34;15020,64;4100,08;20,4;13,8;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);20,4;999,0;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-LSTM;4;253456277,2;15920,31;5634,32;22,1;11,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);22,1;999,0;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-LSTM;5;277941662,48;16671,58;4716,77;23,17;12,5;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);23,17;999,0;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-LSTM;6;294846377,79;17171,09;6083,36;23,71;11,7;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);23,71;999,0;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-MLP;1;243438332,41;15602,51;3685,87;20,36;6,6;{'C': 125550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;20,36;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-MLP;2;184302359,1;13575,8;3099,47;17,96;7,8;{'C': 1255555, 'epsilon': 0,001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;17,96;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-MLP;3;290253362,9;17036,82;4317,65;21,54;9,0;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;21,54;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-MLP;4;251874849,86;15870,57;5623,91;22,05;9,4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;22,05;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-MLP;5;277622878,64;16662,02;4783,14;23,17;10,4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;23,17;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR-MLP;6;438010184,5;20928,69;9101,27;27,14;10,3;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};999,0;27,14;999,0;999,0;999,0;999,0;999,0
4;3-Week;SVR;1;239269995,75;15468,35;3402,02;20,04;0,3;{'C': 125550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;20,04;999,0;999,0;999,0;999,0
4;3-Week;SVR;2;175497255,23;13247,54;2580,46;17,21;0,4;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;17,21;999,0;999,0;999,0;999,0
4;3-Week;SVR;3;214959480,85;14661,5;3711,04;19,47;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;19,47;999,0;999,0;999,0;999,0
4;3-Week;SVR;4;236777383,09;15387,57;5193,28;20,7;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;20,7;999,0;999,0;999,0;999,0
4;3-Week;SVR;5;255969714,85;15999,05;4643,29;21,45;0,2;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;21,45;999,0;999,0;999,0;999,0
