SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params
1;1-Hour;LSTM;1;1689,41;41,1;5,19;2,31;86,5; LSTM(100,90,96)
1;2-Day;ARIMA2;4;3972,49;63,03;43,61;6,64;146,6;ARIMA(3,1,0)(0,0,0)
1;3-Week;ARIMA1;3;302645886,1;17396,72;10687,79;14,16;0,2;ARIMA(0,0,0)(0,0,0)
4;1-Hour;LSTM;3;2372,37;48,71;18,74;4,93;160,8; LSTM(100,90,96)
4;1-Hour;LSTM;4;2186,08;46,76;20,68;4,93;162,1; LSTM(100,90,96)
4;2-Day;LSTM;2;3960186,53;1990,02;330,86;8,64;8,8; LSTM(100,96,90)
4;3-Week;ARIMA1;2;230099607,0;15169,03;8666,13;10,09;0,2;ARIMA(0,0,0)(0,0,0)
5;1-Hour;LSTM;1;3923,18;62,64;29,61;4,85;118,3; LSTM(100,90,96)
5;2-Day;LSTM;3;3524767,56;1877,44;669,97;8,35;9,1; LSTM(100,96,90)
5;3-Week;ARIMA1;5;290432408,1;17042,08;7273,33;5,25;0,3;ARIMA(0,0,0)(0,0,0)
6;1-Hour;SVR;6;385887,84;621,2;403,67;8,0;2,5;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'}
6;2-Day;MLP;4;260528,7;510,42;195,76;5,46;38,6;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
6;3-Week;ARIMA2;6;23600185,42;4858,0;1479,35;3,39;0,4;ARIMA(0,0,0)(0,0,0)
7;1-Hour;LSTM;2;1202,51;34,68;15,56;3,95;314,2; LSTM(100,90,96)
7;2-Day;ARIMA2;1;2207,54;46,98;36,44;6,45;31,1;ARIMA(0,1,1)(0,0,0)
7;3-Week;ARIMA1;5;97862259,83;9892,54;5730,86;6,75;0,4;ARIMA(0,0,0)(0,0,0)
8;1-Hour;LSTM;5;21,1;4,59;1,43;1,2;120,1; LSTM(100,90,96)
8;2-Day;SVR;4;58117,22;241,08;28,96;2,71;73,5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'}
8;2-Day;SVR;5;57288,34;239,35;30,72;2,71;65,1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'}
8;3-Week;ARIMA2;6;15436962,88;3928,99;1501,82;4,83;0,5;ARIMA(0,0,0)(0,0,0)
9;1-Hour;LSTM;3;50,9;7,13;2,97;0,94;58,1; LSTM(100,90,96)
9;2-Day;ARIMA1;4;68,44;8,27;4,57;1,05;78,8;ARIMA(0,1,1)(0,0,0)
9;3-Week;SVR;4;150011037,42;12247,9;7421,06;22,15;0,2;{'C': 1255555, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'}
11;1-Hour;MLP;3;426,71;20,66;7,7;1,51;246,8;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
11;2-Day;ARIMA1;1;441,44;21,01;13,8;1,63;46,9;ARIMA(1,1,1)(0,0,0)
11;3-Week;ARIMA1;3;256936416,9;16029,24;6614,21;4,84;0,2;ARIMA(0,0,0)(0,0,0)
12;1-Hour;SVR;6;511559,32;715,23;274,1;6,33;3,3;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'}
12;2-Day;MLP;4;510824,66;714,72;224,95;5,96;36,1;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
12;3-Week;ARIMA2;2;35075147,17;5922,43;2320,72;4,31;0,3;ARIMA(0,0,0)(0,0,0)
12;3-Week;ARIMA2;4;34950046,62;5911,86;2320,76;4,31;0,4;ARIMA(0,0,0)(0,0,0)
13;1-Hour;LSTM;2;34128,63;184,74;63,39;3,34;125,7; LSTM(100,90,96)
13;1-Hour;LSTM;3;33218,7;182,26;65,27;3,34;128,8; LSTM(100,90,96)
13;2-Day;ARIMA1;2;114778,36;338,79;262,37;7,44;61,2;ARIMA(1,1,1)(0,0,0)
13;3-Week;ARIMA1;2;13030952288,0;114153,2;73111,17;20,22;1,0;ARIMA(1,1,1)(0,0,0)
