SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params
1;1-Hour;LSTM;1;1689,41;41,1;5,19;2,31;86,5; LSTM(100,90,96)
4;1-Hour;LSTM;3;2372,37;48,71;18,74;4,93;160,8; LSTM(100,90,96)
4;1-Hour;LSTM;4;2186,08;46,76;20,68;4,93;162,1; LSTM(100,90,96)
5;1-Hour;LSTM;1;3923,18;62,64;29,61;4,85;118,3; LSTM(100,90,96)
6;1-Hour;SVR;6;385887,84;621,2;403,67;8,0;2,5;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'}
7;1-Hour;LSTM;2;1202,51;34,68;15,56;3,95;314,2; LSTM(100,90,96)
8;1-Hour;LSTM;5;21,1;4,59;1,43;1,2;120,1; LSTM(100,90,96)
9;1-Hour;LSTM;3;50,9;7,13;2,97;0,94;58,1; LSTM(100,90,96)
11;1-Hour;MLP;3;426,71;20,66;7,7;1,51;246,8;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
12;1-Hour;SVR;6;511559,32;715,23;274,1;6,33;3,3;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'}
13;1-Hour;LSTM;2;34128,63;184,74;63,39;3,34;125,7; LSTM(100,90,96)
13;1-Hour;LSTM;3;33218,7;182,26;65,27;3,34;128,8; LSTM(100,90,96)
