SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;MAPE_SVR-LSTM;Duration
1;1-Hour;MLP;6;1785,62;42,26;7,96;3,25;178,6;3,54;116,9
4;1-Hour;MLP;3;5882,43;76,7;24,49;9,02;209;10,13;166,9
5;1-Hour;LSTM;1;3923,18;62,64;29,61;4,85;118,3;7,17;156,3
6;1-Hour;SVR;6;385887,84;621,2;403,67;8;2,5;34,41;224,8
7;1-Hour;LSTM;2;1202,51;34,68;15,56;3,95;314,2;6,09;273,5
8;1-Hour;SVR-MLP;5;26,38;5,14;1,57;1,33;463,8;2,27;191,2
9;1-Hour;MLP;3;64,39;8,02;2,84;0,95;130,1;2,04;77,9
11;1-Hour;MLP;3;426,71;20,66;7,7;1,51;246,8;1,82;240,1
12;1-Hour;SVR;6;511559,32;715,23;274,1;6,33;3,3;9,87;188,3
13;1-Hour;MLP;4;42539,02;206,25;69,93;3,82;277,5;5,91;153,2
