SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params
1;3-Week;ARIMA1;3;302645886,1;17396,72;10687,79;14,16;0,2;ARIMA(0,0,0)(0,0,0)
4;3-Week;ARIMA1;2;230099607,0;15169,03;8666,13;10,09;0,2;ARIMA(0,0,0)(0,0,0)
5;3-Week;ARIMA1;5;290432408,1;17042,08;7273,33;5,25;0,3;ARIMA(0,0,0)(0,0,0)
6;3-Week;ARIMA2;6;23600185,42;4858,0;1479,35;3,39;0,4;ARIMA(0,0,0)(0,0,0)
7;3-Week;ARIMA1;5;97862259,83;9892,54;5730,86;6,75;0,4;ARIMA(0,0,0)(0,0,0)
8;3-Week;ARIMA2;6;15436962,88;3928,99;1501,82;4,83;0,5;ARIMA(0,0,0)(0,0,0)
9;3-Week;SVR;4;150011037,42;12247,9;7421,06;22,15;0,2;{'C': 1255555, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'}
11;3-Week;ARIMA1;3;256936416,9;16029,24;6614,21;4,84;0,2;ARIMA(0,0,0)(0,0,0)
12;3-Week;ARIMA2;2;35075147,17;5922,43;2320,72;4,31;0,3;ARIMA(0,0,0)(0,0,0)
12;3-Week;ARIMA2;4;34950046,62;5911,86;2320,76;4,31;0,4;ARIMA(0,0,0)(0,0,0)
13;3-Week;ARIMA1;2;13030952288,0;114153,2;73111,17;20,22;1,0;ARIMA(1,1,1)(0,0,0)
