SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params
1;2-Day;SVR-MLP;5;6083191,91;2466,41;927,1;25,03;21,1;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
4;2-Day;SVR-MLP;1;3615605,52;1901,47;556,47;10,53;23,9;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
5;2-Day;SVR-MLP;3;3715158,56;1927,47;680,36;9,78;10,9;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
6;2-Day;SVR-MLP;2;347375,01;589,39;216,73;6,38;13,4;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
7;2-Day;SVR-MLP;2;5098761,26;2258,04;1223,95;16,51;11,2;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
8;2-Day;SVR-MLP;5;66819,94;258,5;54,13;3,16;12,8;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
9;2-Day;SVR-MLP;1;731900,93;855,51;95,58;4,4;6,8;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
11;2-Day;SVR-MLP;3;1651923,01;1285,27;459,74;4,24;11,3;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
12;2-Day;SVR-MLP;6;524219,22;724,03;280,03;6,37;32,0;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
13;2-Day;SVR-MLP;1;475730646,45;21811,25;4672,32;78,3;23,9;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
