SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params
1;3-Week;SVR-LSTM;1;708405736,52;26615,89;3095,75;200,23;13,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
4;3-Week;SVR-LSTM;2;188261895,78;13720,86;4209,33;18,59;11,4;SVR-LSTM{'C': 1255555, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
5;3-Week;SVR-LSTM;3;284757099,45;16874,75;2820,37;13,51;8,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
6;3-Week;SVR-LSTM;1;22773882,8;4772,2;770,18;12,05;8,2;SVR-LSTM{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
7;3-Week;SVR-LSTM;2;108684681,08;10425,19;3370,61;13,05;11,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
8;3-Week;SVR-LSTM;4;12194873,93;3492,12;850,43;13,29;9,4;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}-LSTM(100,96,90)
9;3-Week;SVR-LSTM;4;134244010,65;11586,37;6318,5;22,72;7,9;SVR-LSTM{'C': 1255555, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
11;3-Week;SVR-LSTM;1;238995905,9;15459,49;4412,6;12,11;7,7;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90)
12;3-Week;SVR-LSTM;1;33790531,16;5812,96;1214,26;12,05;11,1;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
13;3-Week;SVR-LSTM;1;54747765772,23;233982,4;62584,16;135,98;11,8;SVR-LSTM{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90)
